Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PVBC,Provident Bancorp Inc. (MD) Common Stock,$10.25,-0.03,-0.292%,181090102.00,United States,2015,24514,Finance,Banks
QMCO,Quantum Corporation Common Stock,$3.50,0.029,0.835%,16774415.00,United States,,10733,Technology,Electronic Components
QRTEA,Qurate Retail Inc. Series A Common Stock ,$0.63,-0.0513,-7.53%,250060574.00,United States,,1388011,Consumer Discretionary,Catalog/Specialty Distribution
RBB,RBB Bancorp Common Stock,$22.47,-0.04,-0.178%,400073586.00,United States,2017,18448,Finance,Major Banks
RCKY,Rocky Brands Inc. Common Stock,$30.39,-0.30,-0.978%,226375718.00,United States,1993,20571,Consumer Discretionary,Shoe Manufacturing
RCON,Recon Technology Ltd. Class A Ordinary Shares,$3.065,-0.015,-0.487%,45907435.00,China,2009,17382,Energy,Oilfield Services/Equipment
RDI,Reading International Inc Class A Common Stock,$1.57,0.03,1.948%,35209109.00,United States,,20256,Consumer Discretionary,Movies/Entertainment
RDUS,Radius Recycling Inc. Class A Common Stock,$18.22,0.32,1.788%,510878852.00,United States,,117636,Consumer Discretionary,Industrial Specialties
RGP,Resources Connection Inc. Common Stock,$8.215,-0.155,-1.852%,275696632.00,United States,,778427,Consumer Discretionary,Business Services
RSLS,ReShape Lifesciences Inc. Common Stock,$5.24,0.26,5.221%,2654977.00,United States,2016,117426,Health Care,Medical/Dental Instruments
RUM,Rumble Inc. Class A Common Stock,$5.37,-0.06,-1.105%,2089001566.00,United States,2021,548905,Technology,Computer Software: Programming Data Processing
RVYL,Ryvyl Inc. Common Stock,$1.47,0.07,5.00%,9930143.00,United States,,42567,Consumer Discretionary,Professional Services
RXT,Rackspace Technology Inc. Common Stock,$2.59,0.05,1.969%,585425333.00,United States,2020,288597,Technology,Computer Software: Programming Data Processing
SAFT,Safety Insurance Group Inc. Common Stock,$79.52,-2.21,-2.704%,1179876489.00,United States,2002,47354,Finance,Property-Casualty Insurers
SANM,Sanmina Corporation Common Stock,$67.18,-0.10,-0.149%,3671161678.00,United States,1993,160160,Technology,Electrical Products
SASR,Sandy Spring Bancorp Inc. Common Stock,$31.43,-0.10,-0.317%,1417796960.00,United States,,169428,Finance,Major Banks
SBGI,Sinclair Inc. Class A Common Stock,$16.51,-0.14,-0.841%,1095641623.00,United States,1995,386248,Industrials,Broadcasting
SBSI,Southside Bancshares Inc. Common Stock,$32.42,0.02,0.062%,981232020.00,United States,,78055,Finance,Major Banks
SCSC,ScanSource Inc. Common Stock,$47.35,-0.06,-0.127%,1137859422.00,United States,,303657,Technology,Retail: Computer Software & Peripheral Equipment
SCWX,SecureWorks Corp. Class A Common Stock,$7.76,-0.46,-5.596%,689305986.00,United States,2016,22812,Technology,Computer Software: Prepackaged Software
SFIX,Stitch Fix Inc. Class A Common Stock,$2.70,0.03,1.124%,342462160.00,United States,2017,2198406,Consumer Discretionary,Catalog/Specialty Distribution
SFNC,Simmons First National Corporation Class A Common Stock,$21.40,-0.11,-0.511%,2686789560.00,United States,,431900,Finance,Major Banks
SFST,Southern First Bancshares Inc. Common Stock,$33.74,0.14,0.417%,275152973.00,United States,,14239,Finance,Major Banks
SHBI,Shore Bancshares Inc Common Stock,$13.30,-0.09,-0.672%,443106152.00,United States,,46413,Finance,Major Banks
SHCR,Sharecare Inc. Class A Common Stock,$1.43,0.01,0.704%,530430841.00,United States,2021,2311748,Health Care,Medical/Nursing Services
SHIM,Shimmick Corporation Common Stock,$2.49,-0.12,-4.598%,83636697.00,United States,2023,16232,Industrials,Military/Government/Technical
SILC,Silicom Ltd Ordinary Shares,$13.11,-0.41,-3.033%,83976407.00,Israel,,7181,Telecommunications,Computer Communications Equipment
SKIN,The Beauty Health Company Class A Common Stock,$1.56,0.08,5.405%,193471588.00,United States,2020,1724830,Health Care,Medical/Dental Instruments
SLDP,Solid Power Inc. Class A Common Stock,$1.26,-0.03,-2.326%,225493201.00,United States,2021,1176101,Miscellaneous,Industrial Machinery/Components
SLRC,SLR Investment Corp. Common Stock,$15.06,-0.08,-0.528%,821592788.00,United States,2010,103275,Finance,Finance/Investors Services
SNBR,Sleep Number Corporation Common Stock,$16.61,-1.64,-8.986%,371316550.00,United States,,354108,Consumer Discretionary,Home Furnishings
SND,Smart Sand Inc. Common Stock,$2.16,-0.05,-2.262%,92721335.00,United States,2016,139797,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
SOHO,Sotherly Hotels Inc. Common Stock,$1.09,0.01,0.926%,21635590.00,United States,,49723,Real Estate,Real Estate Investment Trusts
SOND,Sonder Holdings Inc. Class A Common Stock,$4.51,-0.17,-3.632%,52251169.00,United States,2021,34141,Consumer Discretionary,Hotels/Resorts
SQFT,Presidio Property Trust Inc. Class A Common Stock,$0.6617,-0.0383,-5.471%,9615540.00,United States,2020,31296,Real Estate,Real Estate Investment Trusts
SRCE,1st Source Corporation Common Stock,$58.65,-0.11,-0.187%,1437648917.00,United States,,52562,Finance,Major Banks
SRCL,Stericycle Inc. Common Stock,$60.91,-0.09,-0.148%,5654668170.00,United States,1996,1558700,Industrials,Environmental Services
STBA,S&T Bancorp Inc. Common Stock,$39.19,-0.49,-1.235%,1499260635.00,United States,,176165,Finance,Major Banks
STRL,Sterling Infrastructure Inc. Common Stock,$147.54,-0.51,-0.344%,4534341951.00,United States,,149883,Industrials,Military/Government/Technical
SVC,Service Properties Trust Common Stock,$4.83,-0.09,-1.829%,801245589.00,United States,,889067,Real Estate,Real Estate Investment Trusts
SYBX,Synlogic Inc. Common Stock,$1.5338,0.0338,2.253%,17939492.00,United States,2015,3637,Health Care,Biotechnology: Pharmaceutical Preparations
SYTA,Siyata Mobile Inc. Common Shares,$0.8813,0.0263,3.076%,777703.00,Canada,2020,102841,Telecommunications,Telecommunications Equipment
TBNK,Territorial Bancorp Inc. Common Stock,$10.67,-0.75,-6.567%,94239681.00,United States,2009,31661,Finance,Savings Institutions
TCPC,BlackRock TCP Capital Corp. Common Stock,$8.25,0.03,0.365%,706126856.00,United States,2012,367909,Finance,Finance/Investors Services
TFIN,Triumph Financial Inc. Common Stock,$74.64,0.01,0.013%,1743862911.00,United States,2014,337361,Finance,Major Banks
TFSL,TFS Financial Corporation Common Stock,$12.59,-0.08,-0.631%,3534149652.00,United States,2007,205900,Finance,Savings Institutions
TH,Target Hospitality Corp. Common Stock,$7.70,-0.09,-1.155%,773321395.00,United States,2018,239137,Consumer Discretionary,Hotels/Resorts
THFF,First Financial Corporation Indiana Common Stock,$41.74,0.06,0.144%,493120242.00,United States,,27330,Finance,Major Banks
TIGR,UP Fintech Holding Ltd American Depositary Share representing fifteen Class A Ordinary Shares,$11.46,-0.93,-7.506%,1915410831.00,China,2019,121049777,Finance,Investment Bankers/Brokers/Service
TMCI,Treace Medical Concepts Inc. Common Stock,$5.24,-0.10,-1.873%,325877465.00,United States,2021,333810,Health Care,Medical/Dental Instruments
TRIP,TripAdvisor Inc. Common Stock,$14.36,-0.35,-2.379%,1990838707.00,United States,,1211082,Technology,Computer Software: Programming Data Processing
TROW,T. Rowe Price Group Inc. Common Stock,$106.63,-1.84,-1.696%,23735605120.00,United States,1986,1088951,Finance,Investment Bankers/Brokers/Service
TRVG,trivago N.V. American Depositary Shares,$1.74,0.02,1.163%,121241865.00,Germany,2016,16466,Technology,EDP Services
TTOO,T2 Biosystems Inc. Common Stock,$1.63,-0.19,-10.44%,28492325.00,United States,2014,1161835,Health Care,Medical/Dental Instruments
TWKS,Thoughtworks Holding Inc. Common Stock,$4.43,0.01,0.226%,1431599513.00,United States,2021,1213375,Technology,EDP Services
UEIC,Universal Electronics Inc. Common Stock,$8.35,-0.13,-1.533%,108381965.00,United States,1993,78001,Consumer Staples,Consumer Electronics/Appliances
ULCC,Frontier Group Holdings Inc. Common Stock,$5.64,-0.17,-2.926%,1266085507.00,United States,2021,2519372,Consumer Discretionary,Air Freight/Delivery Services
ULH,Universal Logistics Holdings Inc. Common Stock,$45.22,-0.40,-0.877%,1190069482.00,United States,2005,155766,Industrials,Trucking Freight/Courier Services
UPST,Upstart Holdings Inc. Common stock,$41.02,-0.28,-0.678%,3671847462.00,United States,2020,6113383,Finance,Finance: Consumer Services
UVSP,Univest Financial Corporation Common Stock,$27.08,-0.22,-0.806%,789951357.00,United States,,42259,Finance,Major Banks
VERO,Venus Concept Inc. Common Stock,$0.4564,0.0076,1.693%,3311308.00,United States,2017,439654,Health Care,Medical/Dental Instruments
VICR,Vicor Corporation Common Stock,$41.11,-0.94,-2.235%,1852885788.00,United States,,118913,Technology,Industrial Machinery/Components
VS,Versus Systems Inc. Common Shares,$1.12,-0.0394,-3.398%,2806737.00,Canada,,27895,Technology,EDP Services
VSTA,Vasta Platform Limited Class A Ordinary Shares,$2.5309,-0.1291,-4.853%,205008557.00,Brazil,2020,53508,Real Estate,Other Consumer Services
VTNR,Vertex Energy Inc Common Stock,$0.0521,-0.0554,-51.535%,4872097.00,United States,,20807314,Energy,Integrated oil Companies
VTRS,Viatris Inc. Common Stock,$11.33,-0.26,-2.243%,13522586846.00,United States,,4618158,Health Care,Biotechnology: Pharmaceutical Preparations
WABC,Westamerica Bancorporation Common Stock,$47.65,-0.48,-0.997%,1271577846.00,United States,,103781,Finance,Major Banks
WASH,Washington Trust Bancorp Inc. Common Stock,$30.89,-0.19,-0.611%,526934316.00,United States,,64998,Finance,Major Banks
WBA,Walgreens Boots Alliance Inc. Common Stock,$8.87,0.15,1.72%,7657249578.00,United States,,14234153,Consumer Staples,Retail-Drug Stores and Proprietary Stores
WERN,Werner Enterprises Inc. Common Stock,$36.48,0.51,1.418%,2254748653.00,United States,1986,715737,Industrials,Trucking Freight/Courier Services
WINT,Windtree Therapeutics Inc. Common Stock,$1.08,-0.03,-2.703%,639262.00,United States,,501416,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
WKHS,Workhorse Group Inc. Common Stock,$0.731,-0.0417,-5.397%,17809021.00,United States,,1341580,Consumer Discretionary,Auto Manufacturing
WNEB,Western New England Bancorp Inc. Common Stock,$8.55,-0.02,-0.233%,182271345.00,United States,,16275,Finance,Savings Institutions
WRLD,World Acceptance Corporation Common Stock,$112.29,-0.55,-0.487%,657412809.00,United States,1991,15780,Finance,Finance: Consumer Services
WTBA,West Bancorporation Common Stock,$18.59,0.10,0.541%,312918629.00,United States,,13495,Finance,Major Banks
WW,WW International Inc. Common Stock,$0.7894,0.0344,4.556%,62940398.00,United States,,994031,Consumer Discretionary,Other Consumer Services
XBIO,Xenetic Biosciences Inc. Common Stock,$4.25,-0.2696,-5.965%,6554091.00,United States,,13750,Health Care,Biotechnology: Pharmaceutical Preparations
ZENV,Zenvia Inc. Class A Common Stock,$1.38,-0.06,-4.167%,57800569.00,Brazil,2021,33800,Technology,Computer Software: Prepackaged Software
ZEUS,Olympic Steel Inc. Common Stock,$39.03,0.47,1.219%,434503114.00,United States,1994,86635,Industrials,Metal Fabrications
ZIMV,ZimVie Inc. Common Stock,$15.43,-0.53,-3.321%,425432936.00,United States,,133478,Health Care,Medical/Dental Instruments
ZUMZ,Zumiez Inc. Common Stock,$22.00,-0.53,-2.352%,421110998.00,United States,2005,543276,Consumer Discretionary,Clothing/Shoe/Accessory Stores
